Colectivo,Orgánicos Kg,Orgánicos secos Kg,Total orgánicos Kg,Orgánicos procesados t,Tipo,Tecnica,Primer registro,Último registro,Años registrando,Días trabajados registrados,t orgánicos/mes,t orgánicos/año,Link red social,Alcance personas/colectivo,Horario de trabajo,Link ubicación ,Latitud y longitud,Localidad / municipio,Ciudad,Departamento,Crédito de carbono COP ,Potencial GWP del metano,t metano/t orgánicos,t CO2e/t orgánicos ,Metano evitado t,CO2e evitado t (VERs),COP/créditos de carbono,Metano evitado t/mes,Metano evitado t/año,CO2e evitado t/mes,CO2e evitado t/año,Costo/t en vertedero COP,t residuos/día/ciudad,Capacidad camion t,Viajes camion/día/ciudad,Gestión/día/ciudad COP,Viajes de camion evitados,Ahorro/gestón COP,% producción abono,Abono producido t,Humedad L/t,pH,Conductividad dS/m,% retención de humedad,Cenizas Kg/t,Perdidas por volatización Kg/t,Cap inter catiónico-CIC cmol/kg,Densidad g/cm³,Carbono orgánico Kg/t,Relación Carbono/Nitógeno,Nitrógeno Kg/t
Pacas Choquenzá - Humedal Córdoba,156,156,312,"0,31",Nodo paquero,Paca,8/2/2026,8/2/2026,"0,0",1,"0,00","0,00",https://www.instagram.com/pacaschoquenza?utm_source=ig_web_button_share_sheet&igsh=ZDNlZDc0MzIxNw==,449,Sábados 10:00 am a 11:30 am y Domingos 10:30 am a 12:00 m,https://maps.app.goo.gl/xT5P4cEYcQ7FSzG7A,"4.707935176705959, -74.07857728805129",Suba,Bogotá,Cundinamarca,$20.500,28,"0,12189","3,41","0,04","1,06483104",$21.829,"0,0000","0,000","0,000","0,000",110351,7500,12,625, $827.632.500,"0,03",$34.430,"0,46","0,1","366,7","6,9","2,6","500,0","162,5","150,0","46,5","0,7","254,2",16:1,"22,5"
Paqueros Parque de los Guatines,8040,8040,16080,"16,08",Nodo paquero,Paca,26/12/2024,28/2/2026,"1,2",74,"1,14","13,72",Sin red social,0,Viernes 2:00 pm,https://maps.app.goo.gl/pmHdbMZjAEVBnadF8,"3.4285069346191848, -76.55398795012121",Comuna 20,Cali,Valle del Cauca,$20.500,28,"0,12189","3,41","1,96","54,8797536",$1.125.035,"0,1393","1,672","3,901","46,817",176868,1800,12,150, $318.362.400,"1,34",$2.844.037,"0,46","7,4","366,7","6,9","2,6","500,0","162,5","150,0","46,5","0,7","254,2",16:1,"22,5"
Paquerxs del Neuque,"6728,77","6728,77","13457,54","13,46",Nodo paquero,Paca,21/3/2021,12/7/2026,"5,3",44,"0,21","2,54",https://www.instagram.com/paquerxsneuque?utm_source=ig_web_button_share_sheet&igsh=ZDNlZDc0MzIxNw==,145,Domingos cada 15 dias 10 am,https://maps.app.goo.gl/qNn7LT2YFDJr6HYp8,"4.623826740685889, -74.07170053794286",Teusaquillo,Bogotá,Cundinamarca,$20.500,28,"0,12189","3,41","1,64","45,92950742",$941.555,"0,0258","0,309","0,721","8,652",110351,7500,12,625, $827.632.500,"1,12",$1.485.053,"0,46","6,2","366,7","6,9","2,6","500,0","162,5","150,0","46,5","0,7","254,2",16:1,"22,5"
Paquerxs la Soledad Park Way,0,0,0,"0,00",Nodo paquero,Paca,,,"0,0",0,"0,00","0,00",Sin red social,0,Domingos cada 15 dias 10 am a 12:30 pm,https://maps.app.goo.gl/koLdvSjnUP7t5pqa7,"4.629821925065535, -74.07521962935635",Teusaquillo,Bogotá,Cundinamarca,$20.500,28,"0,12189","3,41","0,00",0,$0,"0,0000","0,000","0,000","0,000",110351,7500,12,625, $827.632.500,"0,00",$0,"0,00","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0",0,"0,0","0,0","0,0"
Paquerxs Unidos - Andes,"17989,1","17989,1","35978,2","35,98",Nodo paquero,Paca,20/9/2020,14/6/2026,"5,7",78,"0,52","6,28",https://www.instagram.com/paqunidos?utm_source=ig_web_button_share_sheet&igsh=ZDNlZDc0MzIxNw==,999,Domingos cada 15 días de 7:30 am a 10:30 am,https://maps.app.goo.gl/9VdynMRBNF3aTaQX7,"4.683318076893056, -74.07040325656966",Barrios Unidos,Bogotá,Cundinamarca,$20.500,28,"0,12189","3,41","4,39","122,7907183",$2.517.210,"0,0637","0,765","1,785","21,417",110351,7500,12,625, $827.632.500,"3,00",$3.970.230,"0,46","16,5","366,7","6,9","2,6","500,0","162,5","150,0","46,5","0,7","254,2",16:1,"22,5"
Paquerxs Unidos - Brazo salitre,"28561,78","28561,78","57123,56","57,12",Nodo paquero,Paca,26/7/2020,18/1/2026,"5,5",138,"0,87","10,43",https://www.instagram.com/paqunidos?utm_source=ig_web_button_share_sheet&igsh=ZDNlZDc0MzIxNw==,999,Domingos cada 15 días de 7:30 am a 10:30 am,https://maps.app.goo.gl/n4EifqkUbh6vuKfg6,"4.659645133399892, -74.07958256397774",Barrios Unidos,Bogotá,Cundinamarca,$20.500,28,"0,12189","3,41","6,96","194,9581404",$3.996.642,"0,1059","1,271","2,966","35,591",110351,7500,12,625, $827.632.500,"4,76",$6.303.642,"0,46","26,1","366,7","6,9","2,6","500,0","162,5","150,0","46,5","0,7","254,2",16:1,"22,5"
Paquerxs Unidos - Polo,"337,3","337,3","674,6","0,67",Nodo paquero,Paca,1/2/2026,15/3/2026,"0,1",4,"0,46","5,52",https://www.instagram.com/paqunidos?utm_source=ig_web_button_share_sheet&igsh=ZDNlZDc0MzIxNw==,999,Domingos cada 15 días de 7:30 am a 10:30 am,https://maps.app.goo.gl/YbsY2WmRFtPH4VhE7,"4.674969544035437, -74.06257758939444",Barrios Unidos,Bogotá,Cundinamarca,$20.500,28,"0,12189","3,41","0,08","2,302355832",$47.198,"0,0561","0,673","1,570","18,837",110351,7500,12,625, $827.632.500,"0,06",$74.443,"0,46","0,3","366,7","6,9","2,6","500,0","162,5","150,0","46,5","0,7","254,2",16:1,"22,5"
Parque Ambiental Cantarrana,0,0,0,"0,00",Huerta urbana,Paca,,,"0,0",0,"0,00","0,00",https://www.facebook.com/profile.php?id=61556664878801,36,Martes y Jueves de 7:00 am a 11:00 am,https://maps.app.goo.gl/b3FpkCjm2G53MfsGA,"4.498896088806899, -74.11995399999999",Usme,Bogotá,Cundinamarca,$20.500,28,"0,12189","3,41","0,00",0,$0,"0,0000","0,000","0,000","0,000",110351,7500,12,625, $827.632.500,"0,00",$0,"0,00","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0",0,"0,0","0,0","0,0"
Punto de Acopio Granados,8185,8185,16370,"16,37",Nodo paquero,Paca,20/12/2024,26/8/2025,"0,7",63,"2,00","23,96",https://www.instagram.com/paquerxscomuna20?utm_source=ig_contact_invite,229,"Jueves,9:00 am ",https://maps.app.goo.gl/rRK5MozGB97Hokvd7,"3.423877345515579, -76.56027335722172",Comuna 20,Cali,Valle del Cauca,$20.500,28,"0,12189","3,41","2,00","55,8695004",$1.145.325,"0,2433","2,920","6,813","81,760",176868,1800,12,150, $318.362.400,"1,36",$2.895.329,"0,46","7,5","366,7","6,9","2,6","500,0","162,5","150,0","46,5","0,7","254,2",16:1,"22,5"
Quebrada el Cedro,0,0,0,"0,00",Huerta urbana,Paca,,,"0,0",0,"0,00","0,00",https://www.instagram.com/quebradaelcedro?utm_source=ig_web_button_share_sheet&igsh=ZDNlZDc0MzIxNw==,447,Sábados 10 am,https://maps.app.goo.gl/Tz36nFMLtHBhcH4g7,"4.730611676515428, -74.03089784232759",Usaquén,Bogotá,Cundinamarca,$20.500,28,"0,12189","3,41","0,00",0,$0,"0,0000","0,000","0,000","0,000",110351,7500,12,625, $827.632.500,"0,00",$0,"0,00","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0",0,"0,0","0,0","0,0"
